section,subsection,title,abstract,url,uri,byline,item_type,updated_date,created_date,published_date,material_type_facet,kicker,des_facet,org_facet,per_facet,geo_facet,multimedia,short_url
world,europe,Trump and Johnson Were Accused of Breaking Rules. One Lost Party Support.,"Donald J. Trump and Boris Johnson are at the heart of political tempests at home, facing different accusations and far different results.",https://www.nytimes.com/2023/06/15/world/europe/boris-johnson-trump-conservatives.html,nyt://article/ebc1f5b7-3f13-5fa4-8f90-d50cafb92129,By Mark Landler,Article,2023-06-16 00:09:50-04:00,2023-06-15 16:20:28-04:00,2023-06-15 16:20:28-04:00,,News ANALYSIS,"['Politics and Government', 'United States Politics and Government', 'Legislatures and Parliaments', 'Federal Criminal Case Against Trump (Documents Case)', 'Coronavirus (2019-nCoV)', 'Parties (Social)']","['Conservative Party (Great Britain)', 'Republican Party', 'House of Commons (Great Britain)', 'House of Representatives']","['Johnson, Boris', 'Trump, Donald J']","['Great Britain', 'United States']","[{'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15boris-assess-new-wpmk/15boris-assess-new-wpmk-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1366, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Former Prime Minister Boris Johnson on his morning run on Thursday. Mr. Johnson abruptly resigned last week after a committee of lawmakers found he had deliberately misled them about violating pandemic lockdown rules.', 'copyright': 'Leon Neal/Getty Images'}, {'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15boris-assess-new-wpmk/15boris-assess-new-wpmk-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Former Prime Minister Boris Johnson on his morning run on Thursday. Mr. Johnson abruptly resigned last week after a committee of lawmakers found he had deliberately misled them about violating pandemic lockdown rules.', 'copyright': 'Leon Neal/Getty Images'}, {'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15boris-assess-new-wpmk/15boris-assess-new-wpmk-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Former Prime Minister Boris Johnson on his morning run on Thursday. Mr. Johnson abruptly resigned last week after a committee of lawmakers found he had deliberately misled them about violating pandemic lockdown rules.', 'copyright': 'Leon Neal/Getty Images'}]",https://nyti.ms/469Mbp9
world,europe,"Boris Johnson, Out of Parliament, Is a Columnist Again","Britain’s former prime minister, who quit as a lawmaker in the face of a possible suspension for misleading statements about pandemic gatherings, will write for The Daily Mail, a tabloid.",https://www.nytimes.com/2023/06/16/world/europe/boris-johnson-daily-mail-column.html,nyt://article/db7a9e46-b50d-537d-9b46-85cf97e3ab5d,By Mark Landler,Article,2023-06-16 14:06:49-04:00,2023-06-16 10:04:30-04:00,2023-06-16 10:04:30-04:00,,,"['Newspapers', 'Legislatures and Parliaments']",['Daily Mail'],"['Johnson, Boris']",['Great Britain'],"[{'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16uk-boris-lbmz/16uk-boris-lbmz-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1322, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Former Prime Minister Boris Johnson described the report recommending his suspension from Britain’s Parliament as “tripe.”', 'copyright': 'Peter Nicholls/Reuters'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16uk-boris-lbmz/16uk-boris-lbmz-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Former Prime Minister Boris Johnson described the report recommending his suspension from Britain’s Parliament as “tripe.”', 'copyright': 'Peter Nicholls/Reuters'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16uk-boris-lbmz/16uk-boris-lbmz-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Former Prime Minister Boris Johnson described the report recommending his suspension from Britain’s Parliament as “tripe.”', 'copyright': 'Peter Nicholls/Reuters'}]",https://nyti.ms/3Xddpae
world,europe,"‘I Cannot Believe We Made It’: In the Flood, a Rescue Behind the Front","To many, the destruction of a dam on the Dnipro River in Ukraine brought devastation. To some stranded in Russian-occupied territory, it brought freedom.",https://www.nytimes.com/2023/06/16/world/europe/ukraine-flood-rescue-dam-island.html,nyt://article/099b2d31-2216-5516-9c53-fd76cf98d357,By Andrew E. Kramer and Maria Varenikova,Article,2023-06-16 05:00:43-04:00,2023-06-16 05:00:43-04:00,2023-06-16 05:00:43-04:00,,,"['Russian Invasion of Ukraine (2022)', 'Floods', 'Defense and Military Forces', 'Rescues', 'Levees and Dams', 'Drones (Pilotless Planes)', 'Deaths (Fatalities)']",[],[],"['Kherson (Ukraine)', 'Dnipro River (Ukraine)', 'Russia', 'Ukraine']","[{'url': 'https://static01.nyt.com/images/2023/06/14/world/14ukraine-flood-rescue/14ukraine-flood-rescue-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1385, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Kateryna Krupych, holding her daughter Maria, 4, after they were rescued.', 'copyright': 'Maria Varenikova for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/14/world/14ukraine-flood-rescue/14ukraine-flood-rescue-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Kateryna Krupych, holding her daughter Maria, 4, after they were rescued.', 'copyright': 'Maria Varenikova for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/14/world/14ukraine-flood-rescue/14ukraine-flood-rescue-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Kateryna Krupych, holding her daughter Maria, 4, after they were rescued.', 'copyright': 'Maria Varenikova for The New York Times'}]",https://nyti.ms/3Cyzs1B
world,europe,"Ukraine Nuclear Plant in No Near-Term Risk After Dam Breach, U.N. Says",The destruction of a dam endangered the main source of water used for the critical task of cooling Zaporizhzhia’s reactors and spent fuel rods.,https://www.nytimes.com/2023/06/16/world/europe/ukraine-zaporizhzhia-nuclear-power-plant-dam.html,nyt://article/ec6a852d-7320-502c-86de-514352582fe5,By Matthew Mpoke Bigg,Article,2023-06-16 14:32:34-04:00,2023-06-16 13:20:59-04:00,2023-06-16 13:20:59-04:00,,,"['Russian Invasion of Ukraine (2022)', 'Nuclear Energy']","['Zaporizhzhia Power Plant (Ukraine)', 'International Atomic Energy Agency']","['Grossi, Rafael']",['Zaporizhzhia (Ukraine)'],"[{'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15ukraine-nuclear-explainer01-lmkg/15ukraine-nuclear-explainer01-lmkg-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1365, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Receding water levels are seen this month along the Dnipro River in Ukraine’s southeast, with the Zaporizhzhia Nuclear Power Plant, which is occupied by Russian forces, in the background.', 'copyright': 'Daniel Berehulak/The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15ukraine-nuclear-explainer01-lmkg/15ukraine-nuclear-explainer01-lmkg-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Receding water levels are seen this month along the Dnipro River in Ukraine’s southeast, with the Zaporizhzhia Nuclear Power Plant, which is occupied by Russian forces, in the background.', 'copyright': 'Daniel Berehulak/The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15ukraine-nuclear-explainer01-lmkg/15ukraine-nuclear-explainer01-lmkg-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Receding water levels are seen this month along the Dnipro River in Ukraine’s southeast, with the Zaporizhzhia Nuclear Power Plant, which is occupied by Russian forces, in the background.', 'copyright': 'Daniel Berehulak/The New York Times'}]",https://nyti.ms/3NwsiRM
sports,basketball,Ja Morant Suspended for 25 Games After Second Gun Video,"Morant, the Memphis Grizzlies star, was shown wielding firearms in social media videos in March and May.",https://www.nytimes.com/2023/06/16/sports/basketball/ja-morant-grizzlies-suspended-nba.html,nyt://article/35b62eae-0006-507e-8cbb-d5e0fee6460c,By Sopan Deb,Article,2023-06-16 14:03:21-04:00,2023-06-16 11:17:13-04:00,2023-06-16 11:17:13-04:00,,,"['Basketball', 'Firearms', 'Video Recordings, Downloads and Streaming']","['Memphis Grizzlies', 'ESPN', 'National Basketball Assn']","['Morant, Ja (1999- )', 'Silver, Adam (1962- )']",[],"[{'url': 'https://static01.nyt.com/images/2023/05/22/multimedia/00nba-morant-suspended-zblq/00nba-morant-suspended-zblq-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1153, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Memphis Grizzlies guard Ja Morant during a recent playoff game against the Lakers.', 'copyright': 'Brandon Dill/Associated Press'}, {'url': 'https://static01.nyt.com/images/2023/05/22/multimedia/00nba-morant-suspended-zblq/00nba-morant-suspended-zblq-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Memphis Grizzlies guard Ja Morant during a recent playoff game against the Lakers.', 'copyright': 'Brandon Dill/Associated Press'}, {'url': 'https://static01.nyt.com/images/2023/05/22/multimedia/00nba-morant-suspended-zblq/00nba-morant-suspended-zblq-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Memphis Grizzlies guard Ja Morant during a recent playoff game against the Lakers.', 'copyright': 'Brandon Dill/Associated Press'}]",https://nyti.ms/3NfaTMd
sports,basketball,Michael Jordan to Sell Majority Stake in Charlotte Hornets,"Jordan, the former star of the Chicago Bulls, purchased the team in 2010.",https://www.nytimes.com/2023/06/16/sports/basketball/michael-jordan-charlotte-hornets-sale.html,nyt://article/b9540ae6-d94c-5f3b-8626-2d2576e005d5,By Sopan Deb and Tania Ganguli,Article,2023-06-16 14:35:42-04:00,2023-06-16 11:07:49-04:00,2023-06-16 11:07:49-04:00,,,"['Basketball', 'Mergers, Acquisitions and Divestitures', 'Private Equity']","['Charlotte Bobcats', 'Charlotte Hornets', 'Chicago Bulls', 'National Basketball Assn']","['Jordan, Michael']",[],"[{'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16nba-hornets-1-qmfz/16nba-hornets-1-qmfz-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1389, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Michael Jordan won six championships with the Chicago Bulls in the 1990s.', 'copyright': 'Julien De Rosa/EPA, via Shutterstock'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16nba-hornets-1-qmfz/16nba-hornets-1-qmfz-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Michael Jordan won six championships with the Chicago Bulls in the 1990s.', 'copyright': 'Julien De Rosa/EPA, via Shutterstock'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16nba-hornets-1-qmfz/16nba-hornets-1-qmfz-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Michael Jordan won six championships with the Chicago Bulls in the 1990s.', 'copyright': 'Julien De Rosa/EPA, via Shutterstock'}]",https://nyti.ms/3qD0FNN
nyregion,,Accused in Missing Man’s Grisly Killing: His Ex-Wife and Her Husband,"Three years ago, Steven Kraft disappeared. This week, Jamie and Nicholas Orsini were arrested and accused of carrying out an elaborate plot to kill him and dispose of his body.",https://www.nytimes.com/2023/06/16/nyregion/steven-kraft-murder-arrests.html,nyt://article/ed68d358-0084-56fa-b11f-6ef4a2704cb6,By Erin Nolan,Article,2023-06-16 14:28:57-04:00,2023-06-16 13:54:40-04:00,2023-06-16 13:54:40-04:00,,,"['Murders, Attempted Murders and Homicides']",['Federal Bureau of Investigation'],"['Williams, Damian (Attorney)', 'Steven Kraft', 'Jamie Orsini', 'Nicholas Orsini']","['Beacon (NY)', 'Newburgh (NY)']","[{'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15ny-killing-hbpk/15ny-killing-hbpk-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1365, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Damian Williams, the U.S. attorney for the Southern District of New York, said Jamie and Nicholas Orsini denied Steven Kraft’s family the “dignity of a proper burial” when they killed him.', 'copyright': 'Jefferson Siegel for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15ny-killing-hbpk/15ny-killing-hbpk-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Damian Williams, the U.S. attorney for the Southern District of New York, said Jamie and Nicholas Orsini denied Steven Kraft’s family the “dignity of a proper burial” when they killed him.', 'copyright': 'Jefferson Siegel for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/15/multimedia/15ny-killing-hbpk/15ny-killing-hbpk-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Damian Williams, the U.S. attorney for the Southern District of New York, said Jamie and Nicholas Orsini denied Steven Kraft’s family the “dignity of a proper burial” when they killed him.', 'copyright': 'Jefferson Siegel for The New York Times'}]",https://nyti.ms/3NuSdJv
dining,,"After an Epic Meltdown, Ample Hills Creamery Aims to Rise Again","The Brooklyn-based ice cream chain boomed with the help of Oprah and Disney, then went bust. But the couple behind it are opening new shops and thinking small.",https://www.nytimes.com/2023/06/16/dining/ample-hills-creamery-brooklyn.html,nyt://article/09b1ab4c-9dd8-53f5-8ab7-3e1339be92c6,By Julia Moskin,Article,2023-06-16 14:41:09-04:00,2023-06-16 05:01:13-04:00,2023-06-16 05:01:13-04:00,,,"['Ice Cream and Frozen Desserts', 'Mergers, Acquisitions and Divestitures', 'Entrepreneurship']",['Ample Hills Creamery'],[],['Brooklyn (NYC)'],"[{'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16ample-hills1-ptqf/15ample-hills1-ptqf-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 2048, 'width': 1366, 'type': 'image', 'subtype': 'photo', 'caption': 'Jackie Cuscuna, who founded Ample Hills Creamery with her husband, Brian Smith, holding a cone topped with Creamsicle- and Cap’n Crunch-flavored ice creams.', 'copyright': 'Lanna Apisukh for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16ample-hills1-ptqf/15ample-hills1-ptqf-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Jackie Cuscuna, who founded Ample Hills Creamery with her husband, Brian Smith, holding a cone topped with Creamsicle- and Cap’n Crunch-flavored ice creams.', 'copyright': 'Lanna Apisukh for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16ample-hills1-ptqf/15ample-hills1-ptqf-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Jackie Cuscuna, who founded Ample Hills Creamery with her husband, Brian Smith, holding a cone topped with Creamsicle- and Cap’n Crunch-flavored ice creams.', 'copyright': 'Lanna Apisukh for The New York Times'}]",https://nyti.ms/3CtYVt7
opinion,,Creeping Shariah Has Nothing on the Woke Mob,Creeping Shariah has nothing on the woke mob.,https://www.nytimes.com/2023/06/16/opinion/conservatives-muslims-lgbtq.html,nyt://article/13d68d08-e601-5ac5-ad6d-83093e019671,By Michelle Goldberg,Article,2023-06-16 14:01:24-04:00,2023-06-16 05:00:57-04:00,2023-06-16 05:00:57-04:00,,Michelle Goldberg,"['Muslim Americans', 'Conservatism (US Politics)', 'Right-Wing Extremism and Alt-Right', 'United States Politics and Government', 'Discrimination', 'Muslims and Islam', 'Homosexuality and Bisexuality', 'Christians and Christianity']",[],"['Nomani, Asra', 'Ingraham, Laura A']",[],"[{'url': 'https://static01.nyt.com/images/2023/06/17/opinion/15goldberg1-jpkc/15goldberg1-jpkc-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1367, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Laura Ingraham has praised Muslim parents opposed to their children reading books with L.G.B.T.Q. themes.', 'copyright': 'Laura Segall for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/17/opinion/15goldberg1-jpkc/15goldberg1-jpkc-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Laura Ingraham has praised Muslim parents opposed to their children reading books with L.G.B.T.Q. themes.', 'copyright': 'Laura Segall for The New York Times'}, {'url': 'https://static01.nyt.com/images/2023/06/17/opinion/15goldberg1-jpkc/15goldberg1-jpkc-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Laura Ingraham has praised Muslim parents opposed to their children reading books with L.G.B.T.Q. themes.', 'copyright': 'Laura Segall for The New York Times'}]",https://nyti.ms/3Pd0EdT
opinion,,What a Motherless Son Knows About Fatherhood,"It would be fair to compare my cumulative understanding of grief and fatherhood, which I’ve acquired intuitively, incrementally and in fragments, to a carefully constructed sequence of images.",https://www.nytimes.com/interactive/2023/06/16/opinion/fathers-day-photos.html,nyt://interactive/5f2dd75b-7fb1-54bc-b9ef-e07905eaf3f1,By Trent Davis Bailey,Interactive,2023-06-16 10:53:51-04:00,2023-06-16 05:00:06-04:00,2023-06-16 05:00:06-04:00,,,['Photography'],[],[],[],"[{'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16bailey-05-kfvq/16bailey-05-kfvq-superJumbo-v2.jpg', 'format': 'Super Jumbo', 'height': 2000, 'width': 1333, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Trent Davis Bailey'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16bailey-05-kfvq/16bailey-05-kfvq-threeByTwoSmallAt2X-v3.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Trent Davis Bailey'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16bailey-05-kfvq/16bailey-05-kfvq-thumbLarge-v3.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Trent Davis Bailey'}]",https://nyti.ms/3qKK4rE
opinion,,Juneteenth Is Different Out West,The holiday has long flourished in local spaces of Black life in America.,https://www.nytimes.com/2023/06/16/opinion/hidden-juneteenth-history.html,nyt://article/fcc41b09-41ab-5af7-b43b-6582050d1f2f,By Tiya Miles,Article,2023-06-16 11:31:45-04:00,2023-06-16 05:00:21-04:00,2023-06-16 05:00:21-04:00,,Guest Essay,"['Black People', 'Juneteenth', 'Holidays and Special Occasions', 'Historic Buildings and Sites']",[],[],['United States'],"[{'url': 'https://static01.nyt.com/images/2023/06/17/opinion/sunday/17Miles/17Miles-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1800, 'width': 1800, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Illustration by Noel Spiva. Photographs by Getty Images'}, {'url': 'https://static01.nyt.com/images/2023/06/17/opinion/sunday/17Miles/17Miles-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Illustration by Noel Spiva. Photographs by Getty Images'}, {'url': 'https://static01.nyt.com/images/2023/06/17/opinion/sunday/17Miles/17Miles-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Illustration by Noel Spiva. Photographs by Getty Images'}]",https://nyti.ms/440JK6n
opinion,,The Tale the West Tells Itself About Ukraine,Ukraine’s best path to peace is to be well armed and supported outside NATO — not to join it.,https://www.nytimes.com/2023/06/16/opinion/nato-ukraine-russia-peace.html,nyt://article/9437799a-a36c-57aa-b514-6bd70f0dda0a,By Stephen Wertheim,Article,2023-06-16 08:43:25-04:00,2023-06-16 05:00:43-04:00,2023-06-16 05:00:43-04:00,,Guest Essay,"['International Relations', 'Politics and Government', 'Russian Invasion of Ukraine (2022)', 'Defense and Military Forces', 'Foreign Aid']",['North Atlantic Treaty Organization'],[],['Ukraine'],"[{'url': 'https://static01.nyt.com/images/2023/06/18/opinion/sunday/16Werthheim/16Werthheim-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1800, 'width': 1800, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Illustration by Celina Pereira. Photographs by Getty Images'}, {'url': 'https://static01.nyt.com/images/2023/06/18/opinion/sunday/16Werthheim/16Werthheim-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Illustration by Celina Pereira. Photographs by Getty Images'}, {'url': 'https://static01.nyt.com/images/2023/06/18/opinion/sunday/16Werthheim/16Werthheim-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Illustration by Celina Pereira. Photographs by Getty Images'}]",https://nyti.ms/3qHdqa5
sports,soccer,Luciano Spalletti and the Power of Walking Away,The Napoli coach led his team to a long-delayed title and then left because the job was done. That is worth celebrating.,https://www.nytimes.com/2023/06/16/sports/soccer/luciano-spalletti-jack-grealish.html,nyt://article/9b5052ac-e6e4-5918-8a09-c01509598b3f,By Rory Smith,Article,2023-06-16 10:01:52-04:00,2023-06-16 09:45:03-04:00,2023-06-16 09:45:03-04:00,,The On Soccer Newsletter,['Soccer'],['Napoli (Soccer Team)'],"['Spalletti, Luciano', 'Grealish, Jack (1995- )', 'Mbappe, Kylian (1998- )']",[],"[{'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16rory-top-blqz/16rory-top-blqz-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1365, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Pool photo by Ciro Fusco'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16rory-top-blqz/16rory-top-blqz-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Pool photo by Ciro Fusco'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/16rory-top-blqz/16rory-top-blqz-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'Pool photo by Ciro Fusco'}]",https://nyti.ms/3qQY7vw
us,,Deadlocked Iowa Supreme Court Leaves Abortion Legal Through 20 Weeks,"The court split 3-3 on whether to revive a much stricter six-week limit, enacted in 2018, that was struck down before Roe v. Wade was overturned.",https://www.nytimes.com/2023/06/16/us/iowa-abortion-supreme-court.html,nyt://article/f8f11e8b-253c-569b-ad85-cb2f0d97da72,By David W. Chen,Article,2023-06-16 12:09:33-04:00,2023-06-16 12:09:33-04:00,2023-06-16 12:09:33-04:00,,,"['Abortion', 'Decisions and Verdicts', 'Law and Legislation', 'Supreme Courts (State)', 'Suits and Litigation (Civil)']",['Planned Parenthood Federation of America'],[],['Iowa'],"[{'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/00NAT-IOWA-ABORTION-HFO-fvhq/00NAT-IOWA-ABORTION-HFO-fvhq-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1365, 'width': 2048, 'type': 'image', 'subtype': 'photo', 'caption': 'Protesters outside the Emma Goldman Clinic in Iowa City last June. ', 'copyright': 'Joseph Cress/Iowa City Press-Citizen via AP'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/00NAT-IOWA-ABORTION-HFO-fvhq/00NAT-IOWA-ABORTION-HFO-fvhq-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': 'Protesters outside the Emma Goldman Clinic in Iowa City last June. ', 'copyright': 'Joseph Cress/Iowa City Press-Citizen via AP'}, {'url': 'https://static01.nyt.com/images/2023/06/16/multimedia/00NAT-IOWA-ABORTION-HFO-fvhq/00NAT-IOWA-ABORTION-HFO-fvhq-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': 'Protesters outside the Emma Goldman Clinic in Iowa City last June. ', 'copyright': 'Joseph Cress/Iowa City Press-Citizen via AP'}]",https://nyti.ms/3NaNbQX
us,,Tornadoes Kill at Least 4 Across the South,"One tornado destroyed a trailer park as it pummeled the Texas Panhandle city of Perryton, where three people died. Another person was killed in Florida.",https://www.nytimes.com/2023/06/16/us/texas-florida-tornado-heat.html,nyt://article/7a6191f8-7e0d-5e5f-a171-425d019d8af3,By Livia Albeck-Ripka and Mike Ives,Article,2023-06-16 14:20:18-04:00,2023-06-16 10:19:36-04:00,2023-06-16 10:19:36-04:00,,,"['Heat and Heat Waves', 'Deaths (Fatalities)', 'Weather', 'Tornadoes']",[],[],"['Florida', 'Perryton (Tex)']","[{'url': 'https://static01.nyt.com/images/2023/07/15/multimedia/15-texas-tornado-vid-cover-5-lqzb/15-texas-tornado-vid-cover-5-lqzb-superJumbo.jpg', 'format': 'Super Jumbo', 'height': 1248, 'width': 1872, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'David Erickson/Associated Press'}, {'url': 'https://static01.nyt.com/images/2023/07/15/multimedia/15-texas-tornado-vid-cover-5-lqzb/15-texas-tornado-vid-cover-5-lqzb-threeByTwoSmallAt2X.jpg', 'format': 'threeByTwoSmallAt2X', 'height': 400, 'width': 600, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'David Erickson/Associated Press'}, {'url': 'https://static01.nyt.com/images/2023/07/15/multimedia/15-texas-tornado-vid-cover-5-lqzb/15-texas-tornado-vid-cover-5-lqzb-thumbLarge.jpg', 'format': 'Large Thumbnail', 'height': 150, 'width': 150, 'type': 'image', 'subtype': 'photo', 'caption': '', 'copyright': 'David Erickson/Associated Press'}]",https://nyti.ms/3CzVpgC
